disease,biomarker,model,n_eval,auroc_complete,auroc_ablated,dbrs,critical
cardiac,chest_pain_score,random_forest,24,0.9831932773109243,0.9915966386554621,0.9915254237288136,False
sepsis,temperature,gradient_boosting,37,0.9571428571428571,0.9619047619047619,0.9950495049504949,False
sepsis,heart_rate,gradient_boosting,37,0.9571428571428571,0.9714285714285714,0.9852941176470588,False
sepsis,respiratory_rate,gradient_boosting,37,0.9571428571428571,0.9238095238095237,1.0360824742268042,False
sepsis,white_blood_cell_count,gradient_boosting,37,0.9571428571428571,0.9714285714285714,0.9852941176470588,False
sepsis,blood_pressure_sys,gradient_boosting,37,0.9571428571428571,0.9619047619047619,0.9950495049504949,False
sepsis,lactate,gradient_boosting,37,0.9571428571428571,0.9761904761904762,0.9804878048780488,False
ards,oxygen_saturation,gradient_boosting,39,0.8125000000000001,0.8,1.015625,False
ards,respiratory_rate,gradient_boosting,39,0.8125000000000001,0.7430555555555557,1.0934579439252337,False
ards,pf_ratio,gradient_boosting,39,0.8125000000000001,0.8138888888888889,0.998293515358362,False
ards,heart_rate,gradient_boosting,39,0.8125000000000001,0.8236111111111113,0.9865092748735244,False
cardiac,heart_rate,gradient_boosting,24,1.0,0.592436974789916,1.6879432624113475,True
cardiac,blood_pressure_sys,gradient_boosting,24,1.0,0.9915966386554622,1.0084745762711864,False
cardiac,blood_pressure_dia,gradient_boosting,24,1.0,1.0,1.0,False
cardiac,troponin,gradient_boosting,24,1.0,1.0,1.0,False
cardiac,st_elevation,gradient_boosting,24,1.0,1.0,1.0,False
cardiac,chest_pain_score,gradient_boosting,24,1.0,1.0,1.0,False
sepsis,temperature,xgboost,37,0.9857142857142858,0.980952380952381,1.0048543689320388,False
sepsis,heart_rate,xgboost,37,0.9857142857142858,0.9714285714285714,1.0147058823529413,False
sepsis,respiratory_rate,xgboost,37,0.9857142857142858,0.9666666666666667,1.019704433497537,False
sepsis,white_blood_cell_count,xgboost,37,0.9857142857142858,0.980952380952381,1.0048543689320388,False
sepsis,blood_pressure_sys,xgboost,37,0.9857142857142858,0.9857142857142858,1.0,False
sepsis,lactate,xgboost,37,0.9857142857142858,0.9904761904761905,0.9951923076923077,False
ards,oxygen_saturation,xgboost,39,0.8083333333333335,0.8583333333333333,0.9417475728155342,False
ards,respiratory_rate,xgboost,39,0.8083333333333335,0.6666666666666666,1.2125000000000004,True
ards,pf_ratio,xgboost,39,0.8083333333333335,0.8083333333333333,1.0000000000000002,False
ards,heart_rate,xgboost,39,0.8083333333333335,0.6222222222222222,1.299107142857143,True
cardiac,heart_rate,xgboost,24,0.9747899159663865,0.9411764705882353,1.0357142857142858,False
cardiac,blood_pressure_sys,xgboost,24,0.9747899159663865,0.9747899159663865,1.0,False
cardiac,blood_pressure_dia,xgboost,24,0.9747899159663865,0.9747899159663865,1.0,False
cardiac,troponin,xgboost,24,0.9747899159663865,0.9747899159663865,1.0,False
cardiac,st_elevation,xgboost,24,0.9747899159663865,0.9663865546218487,1.008695652173913,False
cardiac,chest_pain_score,xgboost,24,0.9747899159663865,0.9831932773109243,0.9914529914529915,False
