model,threshold,net_benefit_model
logistic_regression,0.6633333333333333,0.17252475247524754
logistic_regression,0.6732323232323232,0.1648763523956724
logistic_regression,0.6831313131313131,0.16752948677080015
logistic_regression,0.693030303030303,0.15938795656465948
logistic_regression,0.702929292929293,0.15070384223053382
logistic_regression,0.7128282828282828,0.143832219486458
logistic_regression,0.7227272727272727,0.14754098360655743
logistic_regression,0.7326262626262626,0.12819418209293537
logistic_regression,0.7425252525252525,0.11312867791290704
logistic_regression,0.7524242424242424,0.09225826193390449
logistic_regression,0.7623232323232323,0.0815193370165746
logistic_regression,0.7722222222222221,0.08158536585365861
logistic_regression,0.7821212121212121,0.06961752433936022
logistic_regression,0.792020202020202,0.0705512384652745
logistic_regression,0.8019191919191919,0.077577766445691
logistic_regression,0.8118181818181818,0.08586956521739139
logistic_regression,0.8217171717171717,0.07259206798866855
logistic_regression,0.8316161616161616,0.04775344931013806
logistic_regression,0.8415151515151514,0.05760994263862346
logistic_regression,0.8514141414141414,0.06944595513256291
logistic_regression,0.8613131313131313,0.08368536052439926
logistic_regression,0.8712121212121212,0.07588235294117646
logistic_regression,0.8811111111111111,0.08677570093457948
logistic_regression,0.891010101010101,0.0973725671918443
logistic_regression,0.9009090909090909,0.07362385321100923
logistic_regression,0.9108080808080807,0.08288221970554936
logistic_regression,0.9207070707070707,0.033885350318471355
logistic_regression,0.9306060606060605,-0.00410480349344966
logistic_regression,0.9405050505050505,0.03095925297113751
logistic_regression,0.9504040404040404,0.09
logistic_regression,0.9603030303030302,0.05
logistic_regression,0.9702020202020202,0.03
logistic_regression,0.98010101010101,0.005
logistic_regression,0.99,0.0
random_forest,0.01,0.38661616161616164
random_forest,0.0198989898989899,0.38421364526435126
random_forest,0.029797979797979796,0.38170744403956275
random_forest,0.039696969696969696,0.37904544020195646
random_forest,0.049595959595959596,0.37643213944096077
random_forest,0.059494949494949496,0.37418537214047903
random_forest,0.06939393939393938,0.3717307066102247
random_forest,0.07929292929292929,0.3693307734503566
random_forest,0.08919191919191918,0.35747698791172233
random_forest,0.09909090909090908,0.35580221997981837
random_forest,0.10898989898989898,0.35431243623171976
random_forest,0.11888888888888888,0.3516645649432535
random_forest,0.12878787878787878,0.34895652173913044
random_forest,0.1386868686868687,0.34779641139908524
random_forest,0.1485858585858586,0.3450966899988136
random_forest,0.15848484848484848,0.3382751170327692
random_forest,0.16838383838383839,0.3365292117089761
random_forest,0.1782828282828283,0.33594652735095265
random_forest,0.18818181818181817,0.3332754759238522
random_forest,0.19808080808080808,0.33053848091699206
random_forest,0.207979797979798,0.32773306976151
random_forest,0.21787878787878787,0.32485664471135217
random_forest,0.22777777777777777,0.3233812949640288
random_forest,0.23767676767676768,0.32199748244335497
random_forest,0.24757575757575756,0.31906363270237614
random_forest,0.25747474747474747,0.31605155761120934
random_forest,0.2673737373737374,0.31478284847649246
random_forest,0.2772727272727273,0.31169811320754715
random_forest,0.2871717171717172,0.30852770298993903
random_forest,0.29707070707070704,0.30526799827561435
random_forest,0.30696969696969695,0.30634455618714473
random_forest,0.31686868686868686,0.3031036522253438
random_forest,0.32676767676767676,0.2997674418604651
random_forest,0.33666666666666667,0.29886934673366833
random_forest,0.3465656565656566,0.29309553253980525
random_forest,0.3564646464646465,0.28968215350808346
random_forest,0.36636363636363634,0.28616212338593977
random_forest,0.37626262626262624,0.28253036437246964
random_forest,0.38616161616161615,0.27878147112061874
random_forest,0.39606060606060606,0.2749096838936277
random_forest,0.40595959595959596,0.27090885903757866
random_forest,0.41585858585858587,0.2667724364516687
random_forest,0.4257575757575757,0.2662005277044855
random_forest,0.43565656565656563,0.26192410954000356
random_forest,0.44555555555555554,0.2574949899799599
random_forest,0.45545454545454545,0.2479048414023372
random_forest,0.46535353535353535,0.2431447194407708
random_forest,0.47525252525252526,0.24726179018286815
random_forest,0.4851515151515151,0.24249852854620366
random_forest,0.495050505050505,0.2375485097019404
random_forest,0.5049494949494949,0.2375005100999796
random_forest,0.5148484848484849,0.23765459088069954
random_forest,0.5247474747474747,0.22750265674814027
random_forest,0.5346464646464646,0.22213153896244847
random_forest,0.5445454545454546,0.2115269461077844
random_forest,0.5544444444444444,0.2068952618453865
random_forest,0.5643434343434344,0.20103060514722926
random_forest,0.5742424242424242,0.19489323843416367
random_forest,0.5841414141414141,0.19548700510080158
random_forest,0.594040404040404,0.18403707389897983
random_forest,0.6039393939393939,0.17726472838561594
random_forest,0.6138383838383838,0.1701451739471619
random_forest,0.6237373737373737,0.15265100671140944
random_forest,0.6336363636363637,0.17069478908188584
random_forest,0.6435353535353535,0.1625205440634741
random_forest,0.6534343434343434,0.15973622850480915
random_forest,0.6633333333333333,0.1425247524752475
random_forest,0.6732323232323232,0.12987635239567236
random_forest,0.6831313131313131,0.1167500796939751
random_forest,0.693030303030303,0.10809970384995066
random_forest,0.702929292929293,0.09887283236994215
random_forest,0.7128282828282828,0.0964210341188885
random_forest,0.7227272727272727,0.09950819672131153
random_forest,0.7326262626262626,0.11189459765772569
random_forest,0.7425252525252525,0.0975480580619851
random_forest,0.7524242424242424,0.0926499388004896
random_forest,0.7623232323232323,0.09859328516787086
random_forest,0.7722222222222221,0.10548780487804887
random_forest,0.7821212121212121,0.08551460361613353
random_forest,0.792020202020202,0.09363283147158824
random_forest,0.8019191919191919,0.10306221315655278
random_forest,0.8118181818181818,0.0924396135265701
random_forest,0.8217171717171717,0.08063739376770535
random_forest,0.8316161616161616,0.06244751049790048
random_forest,0.8415151515151514,0.0741586998087955
random_forest,0.8514141414141414,0.0594459551325629
random_forest,0.8613131313131313,0.042632920611799074
random_forest,0.8712121212121212,0.05205882352941177
random_forest,0.8811111111111111,0.04471962616822436
random_forest,0.891010101010101,0.06649675625579238
random_forest,0.9009090909090909,0.04316513761467897
random_forest,0.9108080808080807,0.010764439411098725
random_forest,0.9207070707070707,0.03082802547770702
random_forest,0.9306060606060605,0.003842794759825491
random_forest,0.9405050505050505,-0.052122241086587445
random_forest,0.9504040404040404,-0.11244399185336024
random_forest,0.9603030303030302,0.044045801526717845
random_forest,0.9702020202020202,-0.017796610169491384
random_forest,0.98010101010101,-0.12126903553299401
random_forest,0.99,-0.3849999999999996
gradient_boosting,0.01,0.393989898989899
gradient_boosting,0.0198989898989899,0.38340152530145316
gradient_boosting,0.029797979797979796,0.38216814159292034
gradient_boosting,0.039696969696969696,0.3809056484695488
gradient_boosting,0.049595959595959596,0.37378042299925607
gradient_boosting,0.059494949494949496,0.37266459026957366
gradient_boosting,0.06939393939393938,0.3704591338326278
gradient_boosting,0.07929292929292929,0.3686368623148656
gradient_boosting,0.08919191919191918,0.3668836641898636
gradient_boosting,0.09909090909090908,0.3646518668012109
gradient_boosting,0.10898989898989898,0.3573704795374674
gradient_boosting,0.11888888888888888,0.3550378310214376
gradient_boosting,0.12878787878787878,0.3526521739130435
gradient_boosting,0.1386868686868687,0.35021168054415386
gradient_boosting,0.1485858585858586,0.3477144382489026
gradient_boosting,0.15848484848484848,0.3411001080302485
gradient_boosting,0.16838383838383839,0.3385539900400826
gradient_boosting,0.1782828282828283,0.33703134603564844
gradient_boosting,0.18818181818181817,0.33443449048152296
gradient_boosting,0.19808080808080808,0.3330085653104925
gradient_boosting,0.207979797979798,0.33429792118352253
gradient_boosting,0.21787878787878787,0.3332138705927935
gradient_boosting,0.22777777777777777,0.33075539568345325
gradient_boosting,0.23767676767676768,0.3232330727441367
gradient_boosting,0.24757575757575756,0.32064438179621424
gradient_boosting,0.25747474747474747,0.31798666848047885
gradient_boosting,0.2673737373737374,0.3152571349786295
gradient_boosting,0.2772727272727273,0.31245283018867925
gradient_boosting,0.2871717171717172,0.3095706390817628
gradient_boosting,0.29707070707070704,0.30660727115964936
gradient_boosting,0.30696969696969695,0.3035592479230433
gradient_boosting,0.31686868686868686,0.30042288925033267
gradient_boosting,0.32676767676767676,0.29719429857464363
gradient_boosting,0.33666666666666667,0.2888693467336683
gradient_boosting,0.3465656565656566,0.28544365435152264
gradient_boosting,0.3564646464646465,0.28191257259456914
gradient_boosting,0.36636363636363634,0.28116212338593977
gradient_boosting,0.37626262626262624,0.27753036437246964
gradient_boosting,0.38616161616161615,0.2769269376337008
gradient_boosting,0.39606060606060606,0.2731886603110888
gradient_boosting,0.40595959595959596,0.26932579493283454
gradient_boosting,0.41585858585858587,0.26033200760850767
gradient_boosting,0.4257575757575757,0.2562005277044855
gradient_boosting,0.43565656565656563,0.25192410954000355
gradient_boosting,0.44555555555555554,0.2515130260521042
gradient_boosting,0.45545454545454545,0.24708681135225374
gradient_boosting,0.46535353535353535,0.24249669374645755
gradient_boosting,0.47525252525252526,0.2377333974975938
gradient_boosting,0.4851515151515151,0.2327869334902884
gradient_boosting,0.495050505050505,0.22764652930586118
gradient_boosting,0.5049494949494949,0.22230055090797796
gradient_boosting,0.5148484848484849,0.21673641474078695
gradient_boosting,0.5247474747474747,0.21094048884165778
gradient_boosting,0.5346464646464646,0.2106425005426525
gradient_boosting,0.5445454545454546,0.2045708582834331
gradient_boosting,0.5544444444444444,0.1982294264339152
gradient_boosting,0.5643434343434344,0.20455367493623924
gradient_boosting,0.5742424242424242,0.1981494661921708
gradient_boosting,0.5841414141414141,0.18644036920087448
gradient_boosting,0.594040404040404,0.17672057725802437
gradient_boosting,0.6039393939393939,0.1696403978576894
gradient_boosting,0.6138383838383838,0.1621972273083965
gradient_boosting,0.6237373737373737,0.17093959731543626
gradient_boosting,0.6336363636363637,0.1633995037220843
